24	37	1
24	368	1
24	566	1
24	685	1
24	2122	1
24	2455	1
24	2715	1
24	2839	1
37	47	1
37	48	4
37	52	2
37	72	4
37	103	1
37	347	1
37	354	12
37	361	5
37	368	11
37	376	2
37	392	3
37	394	3
37	415	2
37	429	1
37	435	3
37	532	1
37	542	4
37	566	2
37	621	2
37	623	1
37	685	1
37	752	2
37	905	4
37	908	1
37	982	5
37	1006	1
37	1025	7
37	1091	1
37	1171	2
37	1212	11
37	1258	1
37	1262	1
37	1400	2
37	1401	1
37	1402	1
37	1454	2
37	1617	1
37	1681	2
37	1720	1
37	1763	10
37	1780	1
37	1863	1
37	1991	1
37	2025	1
37	2063	1
37	2149	1
37	2159	4
37	2191	10
37	2198	1
37	2245	1
37	2380	1
37	2393	1
37	2420	2
37	2421	2
37	2450	1
37	2478	1
37	2636	4
37	2656	3
37	2695	1
37	2715	2
37	2752	1
37	2756	1
37	2792	1
37	2795	1
37	2796	1
37	2797	3
37	2839	1
37	2879	2
37	2884	1
37	2913	1
37	2922	2
37	2980	1
47	72	1
47	354	1
47	394	1
47	523	1
48	532	1
48	566	1
48	982	1
48	1025	1
48	1617	1
48	1737	1
48	1763	2
48	1780	1
48	1863	1
48	1906	1
48	2122	1
48	2159	1
48	2191	2
48	2792	1
48	2922	1
52	354	1
52	361	1
52	392	1
52	532	1
52	569	1
52	752	1
52	982	1
52	1212	1
52	1763	1
52	1906	1
52	2191	1
52	2547	1
52	2623	1
52	2636	1
52	2656	1
52	2715	1
52	2797	1
72	81	1
72	351	1
72	354	2
72	361	3
72	368	1
72	376	1
72	392	1
72	415	1
72	429	1
72	435	1
72	542	3
72	621	1
72	752	2
72	905	2
72	982	2
72	1025	2
72	1037	2
72	1091	1
72	1171	1
72	1212	3
72	1763	6
72	1780	3
72	1863	1
72	1991	1
72	2027	1
72	2047	1
72	2122	1
72	2149	2
72	2159	1
72	2191	2
72	2245	1
72	2380	1
72	2504	2
72	2636	1
72	2656	5
72	2715	1
72	2746	2
72	2752	2
72	2795	2
72	2797	1
72	2839	1
75	392	1
75	415	1
75	532	1
75	685	1
75	982	1
75	1763	1
75	2149	2
75	2323	1
75	2656	3
75	2839	1
81	354	1
81	392	1
81	882	1
81	1262	1
81	2323	1
96	474	1
96	542	1
96	982	1
96	1091	1
96	1681	1
96	1863	1
96	2159	2
96	2329	1
96	2688	1
103	368	1
103	532	1
103	542	1
103	2149	2
103	2884	1
103	2913	1
341	354	1
341	366	1
341	729	2
341	1025	1
341	2715	1
347	354	3
347	368	2
347	542	1
347	799	1
347	982	1
347	1025	1
347	1242	1
347	1763	1
347	2636	1
351	354	2
351	361	1
351	368	1
351	542	1
351	1091	2
351	2421	1
352	354	1
352	361	2
352	368	4
352	982	1
352	1608	1
352	1780	1
352	2283	1
352	2504	1
352	2752	1
354	361	4
354	368	11
354	394	1
354	523	1
354	542	3
354	569	1
354	729	1
354	748	1
354	752	4
354	799	1
354	905	1
354	1006	1
354	1025	2
354	1091	3
354	1242	1
354	1262	1
354	1400	2
354	1608	2
354	1763	4
354	2149	1
354	2191	1
354	2263	1
354	2283	2
354	2393	1
354	2420	1
354	2421	1
354	2478	1
354	2623	2
354	2656	2
354	2693	1
354	2756	1
354	2796	1
354	2913	1
361	368	4
361	392	1
361	429	1
361	435	1
361	542	3
361	621	2
361	752	1
361	882	1
361	905	3
361	982	3
361	1025	8
361	1091	2
361	1171	1
361	1212	4
361	1402	1
361	1608	1
361	1763	11
361	1780	3
361	1991	2
361	2159	1
361	2239	1
361	2283	2
361	2450	1
361	2504	2
361	2623	1
361	2636	2
361	2656	2
361	2695	1
361	2715	1
361	2734	1
361	2752	3
361	2796	2
361	2913	1
366	368	1
366	905	1
366	982	1
366	1212	2
366	1400	1
366	2636	1
366	2695	1
366	2734	1
366	2792	1
368	392	3
368	415	1
368	457	1
368	467	1
368	532	1
368	542	4
368	621	1
368	752	2
368	799	2
368	837	1
368	882	2
368	905	3
368	908	1
368	982	8
368	1025	1
368	1091	1
368	1175	2
368	1186	1
368	1212	6
368	1258	1
368	1400	2
368	1454	1
368	1608	3
368	1681	2
368	1763	1
368	1780	1
368	1807	1
368	1869	1
368	2027	3
368	2122	1
368	2159	2
368	2198	1
368	2202	1
368	2239	1
368	2263	1
368	2283	3
368	2323	1
368	2380	1
368	2393	1
368	2420	1
368	2455	1
368	2504	2
368	2636	2
368	2656	3
368	2685	1
368	2688	1
368	2693	1
368	2695	1
368	2734	1
368	2752	1
368	2795	3
368	2796	2
368	2797	1
368	2806	1
368	2840	2
368	2861	2
368	2879	1
368	2884	1
368	2913	2
368	2980	1
376	623	1
376	752	1
376	1037	1
376	1681	1
376	1763	1
376	2159	1
376	2636	2
376	2656	2
376	2756	1
392	394	1
392	474	1
392	542	1
392	566	1
392	752	2
392	908	1
392	982	2
392	1025	1
392	1212	3
392	1807	1
392	2122	1
392	2191	1
392	2323	1
392	2421	1
392	2656	1
392	2688	1
392	2792	1
392	2839	1
392	2980	1
394	429	1
394	542	1
394	1681	1
394	1763	1
394	2191	1
394	2283	1
394	2980	1
415	569	1
415	905	1
415	1025	1
415	1212	3
415	1720	1
415	1763	2
415	1906	2
415	1911	1
415	2025	1
415	2027	1
415	2149	1
415	2323	1
415	2380	1
415	2656	2
415	2795	1
415	2797	1
415	2806	2
429	752	1
429	1006	1
429	1242	1
435	542	1
435	621	1
435	982	1
435	1025	1
435	1212	3
435	1763	2
435	1780	1
435	1991	2
435	2752	1
450	1175	1
450	1401	1
450	2380	1
450	2393	1
450	2455	1
450	2752	1
450	2980	1
457	982	1
457	1720	1
457	2656	1
457	2734	1
457	2756	1
457	2795	1
457	2796	1
457	2840	1
457	2884	1
457	2913	1
467	532	3
467	982	1
467	2636	1
467	2656	2
467	2922	1
474	1025	1
474	1763	1
474	1906	1
474	2329	1
474	2715	3
474	2922	1
477	685	1
477	812	1
477	982	2
477	1763	2
477	1863	1
477	1906	1
477	2688	1
523	837	1
523	1025	1
532	905	1
532	982	2
532	1037	1
532	1212	1
532	1763	1
532	2149	3
532	2547	1
532	2632	1
532	2656	1
542	621	2
542	752	2
542	799	1
542	812	1
542	905	1
542	917	1
542	982	13
542	1025	5
542	1091	1
542	1212	12
542	1258	1
542	1681	1
542	1720	3
542	1763	13
542	1780	3
542	1863	2
